Name,Stars,Title,Date,Description
Amazon Customer,5.0,"5.0 out of 5 stars
White Jeans",N/A,"Quality, material, fit, comfort, elasticity all up to the markI am happy with this product
Read more"
Amazon Customer,4.0,"4.0 out of 5 stars
Excellent product",N/A,"Second time purchase same items. Quality need to improve. Remaining all are ok.
Read more"
Value for money,4.0,"4.0 out of 5 stars
Quality is good but length is not as expected with waist size",N/A,"Good quality material.Waist size is matching but length is slightly shorter than expected otherwise it's good 👍
Read more"
Vijay Singh,3.0,"3.0 out of 5 stars
Quality, Different product, length too short",N/A,"The actual price is wrong as per quality. Given price Rs 2999 is absolutely wrong. I am not satisfied with this fake price. You may purchase this type of quality on discounted price of Rs 500 in any shop.
Read more"
Debabrata Mishra,5.0,"5.0 out of 5 stars
Value for money",N/A,"Good product and  fittings. Overall value for money
Read more"
Chandana Banerjee,2.0,"2.0 out of 5 stars
Very Very Very Cheap Quality Jeans",N/A,"This jeans is coloured with very low quality dye as it wash off easily when washed with only normal water. After washing, the colour is faded a little.So within 3 months of use, all the colour will be off and the pant will become fade.
Read more"
Prem j.,5.0,"5.0 out of 5 stars
Good looking",N/A,"Fitting perfect colours same as shown . Comfort  . Overall good in this price
Read more"
Sateesh,4.0,"4.0 out of 5 stars
Good and Comfortable",N/A,"These pair of jeans are pretty comfortable. Color is nice. Quality is impressive too.I found them a bit of shorter length. Else nothing to complain. Thanks !
Read more"
Amazon Customer,5.0,"5.0 out of 5 stars
White Jeans",N/A,"Quality, material, fit, comfort, elasticity all up to the markI am happy with this product
Read more"
Amazon Customer,4.0,"4.0 out of 5 stars
Excellent product",N/A,"Second time purchase same items. Quality need to improve. Remaining all are ok.
Read more"
Value for money,4.0,"4.0 out of 5 stars
Quality is good but length is not as expected with waist size",N/A,"Good quality material.Waist size is matching but length is slightly shorter than expected otherwise it's good 👍
Read more"
Vijay Singh,3.0,"3.0 out of 5 stars
Quality, Different product, length too short",N/A,"The actual price is wrong as per quality. Given price Rs 2999 is absolutely wrong. I am not satisfied with this fake price. You may purchase this type of quality on discounted price of Rs 500 in any shop.
Read more"
Debabrata Mishra,5.0,"5.0 out of 5 stars
Value for money",N/A,"Good product and  fittings. Overall value for money
Read more"
Chandana Banerjee,2.0,"2.0 out of 5 stars
Very Very Very Cheap Quality Jeans",N/A,"This jeans is coloured with very low quality dye as it wash off easily when washed with only normal water. After washing, the colour is faded a little.So within 3 months of use, all the colour will be off and the pant will become fade.
Read more"
Prem j.,5.0,"5.0 out of 5 stars
Good looking",N/A,"Fitting perfect colours same as shown . Comfort  . Overall good in this price
Read more"
Sateesh,4.0,"4.0 out of 5 stars
Good and Comfortable",N/A,"These pair of jeans are pretty comfortable. Color is nice. Quality is impressive too.I found them a bit of shorter length. Else nothing to complain. Thanks !
Read more"
Amazon Customer,5.0,"5.0 out of 5 stars
White Jeans",N/A,"Quality, material, fit, comfort, elasticity all up to the markI am happy with this product
Read more"
Amazon Customer,4.0,"4.0 out of 5 stars
Excellent product",N/A,"Second time purchase same items. Quality need to improve. Remaining all are ok.
Read more"
Value for money,4.0,"4.0 out of 5 stars
Quality is good but length is not as expected with waist size",N/A,"Good quality material.Waist size is matching but length is slightly shorter than expected otherwise it's good 👍
Read more"
Vijay Singh,3.0,"3.0 out of 5 stars
Quality, Different product, length too short",N/A,"The actual price is wrong as per quality. Given price Rs 2999 is absolutely wrong. I am not satisfied with this fake price. You may purchase this type of quality on discounted price of Rs 500 in any shop.
Read more"
Debabrata Mishra,5.0,"5.0 out of 5 stars
Value for money",N/A,"Good product and  fittings. Overall value for money
Read more"
Chandana Banerjee,2.0,"2.0 out of 5 stars
Very Very Very Cheap Quality Jeans",N/A,"This jeans is coloured with very low quality dye as it wash off easily when washed with only normal water. After washing, the colour is faded a little.So within 3 months of use, all the colour will be off and the pant will become fade.
Read more"
Prem j.,5.0,"5.0 out of 5 stars
Good looking",N/A,"Fitting perfect colours same as shown . Comfort  . Overall good in this price
Read more"
Sateesh,4.0,"4.0 out of 5 stars
Good and Comfortable",N/A,"These pair of jeans are pretty comfortable. Color is nice. Quality is impressive too.I found them a bit of shorter length. Else nothing to complain. Thanks !
Read more"
Amazon Customer,5.0,"5.0 out of 5 stars
White Jeans",N/A,"Quality, material, fit, comfort, elasticity all up to the markI am happy with this product
Read more"
Amazon Customer,4.0,"4.0 out of 5 stars
Excellent product",N/A,"Second time purchase same items. Quality need to improve. Remaining all are ok.
Read more"
Value for money,4.0,"4.0 out of 5 stars
Quality is good but length is not as expected with waist size",N/A,"Good quality material.Waist size is matching but length is slightly shorter than expected otherwise it's good 👍
Read more"
Vijay Singh,3.0,"3.0 out of 5 stars
Quality, Different product, length too short",N/A,"The actual price is wrong as per quality. Given price Rs 2999 is absolutely wrong. I am not satisfied with this fake price. You may purchase this type of quality on discounted price of Rs 500 in any shop.
Read more"
Debabrata Mishra,5.0,"5.0 out of 5 stars
Value for money",N/A,"Good product and  fittings. Overall value for money
Read more"
Chandana Banerjee,2.0,"2.0 out of 5 stars
Very Very Very Cheap Quality Jeans",N/A,"This jeans is coloured with very low quality dye as it wash off easily when washed with only normal water. After washing, the colour is faded a little.So within 3 months of use, all the colour will be off and the pant will become fade.
Read more"
Prem j.,5.0,"5.0 out of 5 stars
Good looking",N/A,"Fitting perfect colours same as shown . Comfort  . Overall good in this price
Read more"
Sateesh,4.0,"4.0 out of 5 stars
Good and Comfortable",N/A,"These pair of jeans are pretty comfortable. Color is nice. Quality is impressive too.I found them a bit of shorter length. Else nothing to complain. Thanks !
Read more"
